Date_Time,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,Load_Type
01-01-2018 00:15,8.753692425450835,2.95,0.0,0.0,73.21,100.0,900.0,Light_Load
01-01-2018 00:30,4.0,4.46,0.0,0.0,66.77,100.0,1800.0,Light_Load
01-01-2018 00:45,3.24,3.28,0.0,0.0,70.28,100.0,8070.880991089332,Light_Load
01-01-2018 01:00,3.31,3.56,0.0,0.0,68.09,100.0,3600.0,Light_Load
01-01-2018 01:15,3.82,4.5,0.0,0.0,133.65566645887128,,4500.0,Light_Load
01-01-2018 01:30,3.28,3.56,0.0,0.0,67.76,100.0,5400.0,Light_Load
01-01-2018 01:45,3.6,4.14,0.0,0.0,65.62,100.0,6300.0,Light_Load
01-01-2018 02:00,3.6,4.28,0.0,0.0,64.37,100.0,16589.73645251482,Light_Load
01-01-2018 02:15,5.930615055451534,3.64,0.0,0.0,66.94,100.0,8100.0,Light_Load
01-01-2018 02:30,3.78,4.72,0.0,0.0,62.51,100.0,9000.0,Light_Load
01-01-2018 02:45,3.46,4.03,0.0,0.0,65.14,100.0,9900.0,Light_Load
01-01-2018 03:00,3.24,3.64,0.0,0.0,66.49,,10800.0,Light_Load
01-01-2018 03:15,3.96,4.97,0.0,0.0,62.32,100.0,11700.0,Light_Load
01-01-2018 03:30,3.31,3.74,0.0,0.0,66.27,100.0,36574.178079973935,Light_Load
01-01-2018 03:45,3.31,3.85,0.0,0.0,65.19,100.0,35294.96303565055,Light_Load
01-01-2018 04:00,3.89,5.0,0.0,0.0,61.4,,14400.0,Light_Load
01-01-2018 04:15,3.28,3.82,0.0,0.0,65.14,100.0,15300.0,Light_Load
01-01-2018 04:30,3.56,4.28,0.0,0.0,63.95,100.0,16200.0,Light_Load
01-01-2018 04:45,,4.54,0.0,0.0,63.58,100.0,17100.0,Light_Load
01-01-2018 05:00,3.31,10.543783623067426,,0.0,67.68,100.0,18000.0,Light_Load
01-01-2018 05:15,3.56,4.07,,0.0,65.84,100.0,18900.0,Light_Load
01-01-2018 05:30,3.56,7.6835910538346885,0.0,0.0,65.56,100.0,19800.0,Light_Load
01-01-2018 05:45,3.28,3.49,0.0,0.0,68.48,100.0,20700.0,Light_Load
01-01-2018 06:00,3.78,4.32,0.0,0.0,65.85,100.0,21600.0,Light_Load
01-01-2018 06:15,3.35,7.110590613914561,0.0,0.0,67.72,100.0,22500.0,Light_Load
01-01-2018 06:30,3.24,3.35,,0.0,69.52,100.0,23400.0,Light_Load
01-01-2018 06:45,3.89,4.46,0.0,0.0,65.73,100.0,24300.0,Light_Load
01-01-2018 07:00,3.31,,,0.0,68.4,100.0,25200.0,Light_Load
01-01-2018 07:15,3.28,6.460505873716799,0.0,0.0,170.52803996157073,100.0,26100.0,Light_Load
01-01-2018 07:30,3.85,4.75,0.0,0.0,62.97,100.0,27000.0,Light_Load
01-01-2018 07:45,3.2,3.6,0.0,0.0,66.44,,27900.0,Light_Load
01-01-2018 08:00,3.31,11.280465636721441,0.0,0.0,65.88,100.0,28800.0,Light_Load
01-01-2018 08:15,3.78,4.75,0.0,0.0,160.60192100789544,100.0,29700.0,Light_Load
01-01-2018 08:30,3.28,3.74,0.0,0.0,65.94,100.0,30600.0,Light_Load
01-01-2018 08:45,3.49,4.46,0.18,0.0,61.63,99.87,31500.0,Light_Load
01-01-2018 09:00,3.89,0.0,15.66,0.0,100.0,24.11,32400.0,Light_Load
01-01-2018 09:15,6.231377186121753,0.0,16.96,0.0,100.0,20.76,33300.0,Light_Load
01-01-2018 09:30,4.03,0.0,21.28,0.0,100.0,33.91900524040777,34200.0,Light_Load
01-01-2018 09:45,3.92,0.0,29.314411023953777,0.0,100.0,19.98,85881.71820216988,Light_Load
01-01-2018 10:00,3.64,0.0,16.88,0.0,100.0,21.08,36000.0,Light_Load
01-01-2018 10:15,4.07,0.0,22.32,0.0,100.0,17.94,36900.0,Light_Load
01-01-2018 10:30,3.71,0.0,18.0,0.0,100.0,20.19,37800.0,Light_Load
01-01-2018 10:45,3.6,0.0,16.92,0.0,100.0,20.81,38700.0,Light_Load
01-01-2018 11:00,4.21,0.0,23.4,0.0,247.6071774798219,17.71,39600.0,Light_Load
01-01-2018 11:15,3.49,0.0,5.65,0.0,100.0,52.55,40500.0,Light_Load
01-01-2018 11:30,3.46,0.0,9.878016792615409,0.0,100.0,58.31,41400.0,Light_Load
01-01-2018 11:45,4.0,0.0,6.7,0.0,100.0,51.26,42300.0,Light_Load
01-01-2018 12:00,3.49,0.0,4.57,0.0,100.0,60.69,43200.0,Light_Load
01-01-2018 12:15,3.6,0.0,12.89,0.0,100.0,26.9,44100.0,Light_Load
01-01-2018 12:30,4.25,0.0,23.15,,100.0,18.06,45000.0,Light_Load
01-01-2018 12:45,3.67,0.0,16.67,0.0,100.0,21.5,45900.0,Light_Load
01-01-2018 13:00,3.67,0.0,16.63,0.0,100.0,21.55,46800.0,Light_Load
01-01-2018 13:15,12.002161722423965,0.0,50.48338746977535,0.0,100.0,17.92,47700.0,Light_Load
01-01-2018 13:30,3.64,0.0,35.036284857369516,0.0,100.0,21.25,48600.0,Light_Load
01-01-2018 13:45,9.334563839492382,0.0,16.99,0.0,100.0,21.11,49500.0,Light_Load
01-01-2018 14:00,4.28,0.0,23.4,0.0,100.0,17.99,50400.0,Light_Load
01-01-2018 14:15,3.64,0.0,16.67,0.0,100.0,21.33,51300.0,Light_Load
01-01-2018 14:30,3.78,0.0,40.74896603373533,0.0,100.0,51.168285682531256,52200.0,Light_Load
01-01-2018 14:45,4.1,0.0,22.1,0.0,262.7621414317793,28.972312031235866,53100.0,Light_Load
01-01-2018 15:00,3.64,0.0,16.7,0.0,100.0,21.3,54000.0,Light_Load
01-01-2018 15:15,3.92,0.0,19.33,0.0,100.0,19.87,54900.0,Light_Load
01-01-2018 15:30,4.1,0.0,21.35,0.0,100.0,18.86,55800.0,Light_Load
01-01-2018 15:45,3.6,0.0,16.81,0.0,100.0,20.94,56700.0,Light_Load
01-01-2018 16:00,3.96,0.0,41.719542569850894,0.0,100.0,19.01,57600.0,Light_Load
01-01-2018 16:15,4.0,0.0,20.77,0.0,100.0,52.06438595699283,58500.0,Light_Load
01-01-2018 16:30,3.6,0.0,16.81,0.0,100.0,20.94,59400.0,Light_Load
01-01-2018 16:45,7.935967631434458,0.0,21.64,0.0,100.0,18.48,60300.0,Light_Load
01-01-2018 17:00,3.82,0.0,19.19,0.0,100.0,19.52,61200.0,Light_Load
01-01-2018 17:15,10.657629845750622,0.0,50.03892774978254,0.0,201.5705148522442,20.54,62100.0,Light_Load
01-01-2018 17:30,11.620972031078363,0.0,23.51,0.0,186.3813723057068,31.15401116164054,63000.0,Light_Load
01-01-2018 17:45,3.6,0.0,17.39,,281.70927304619056,20.27,63900.0,Light_Load
01-01-2018 18:00,3.6,0.0,17.35,0.0,100.0,,64800.0,Light_Load
01-01-2018 18:15,4.0,0.0,8.96,0.0,100.0,40.77,65700.0,Light_Load
01-01-2018 18:30,3.42,0.0,13.558849709460471,0.0,100.0,53.01,66600.0,Light_Load
01-01-2018 18:45,3.67,0.0,,0.0,186.41804835074652,40.413505819575,67500.0,Light_Load
01-01-2018 19:00,4.07,0.0,22.57,0.0,100.0,17.75,68400.0,Light_Load
01-01-2018 19:15,6.359452343094225,0.0,17.39,0.0,100.0,,69300.0,Light_Load
01-01-2018 19:30,3.85,0.0,20.74,0.0,100.0,18.25,70200.0,Light_Load
01-01-2018 19:45,3.96,0.0,20.88,0.0,100.0,29.01533067087176,71100.0,Light_Load
01-01-2018 20:00,3.56,0.0,,0.0,100.0,20.1,72000.0,Light_Load
01-01-2018 20:15,4.03,0.0,22.54,0.0,100.0,45.602749047909064,72900.0,Light_Load
01-01-2018 20:30,3.74,0.0,19.55,0.0,100.0,45.35593785061576,73800.0,Light_Load
01-01-2018 20:45,3.56,0.0,17.42,0.0,100.0,20.02,74700.0,Light_Load
01-01-2018 21:00,4.21,0.0,24.26,0.0,100.0,36.12759506848969,75600.0,Light_Load
01-01-2018 21:15,3.56,0.0,17.75,0.0,100.0,19.66,76500.0,Light_Load
01-01-2018 21:30,,0.0,17.42,0.0,182.71937408752697,19.86,77400.0,Light_Load
01-01-2018 21:45,4.25,0.0,25.2,0.0,100.0,16.63,78300.0,Light_Load
01-01-2018 22:00,3.53,0.0,17.5,0.0,100.0,,79200.0,Light_Load
01-01-2018 22:15,3.56,1.44,,0.0,92.7,33.3,80100.0,Light_Load
01-01-2018 22:30,3.67,6.980361394945944,0.0,0.0,65.71,100.0,81000.0,Light_Load
01-01-2018 22:45,3.24,3.35,0.0,0.0,69.52,100.0,81900.0,Light_Load
01-01-2018 23:00,3.53,3.74,0.0,0.0,68.64,100.0,82800.0,Light_Load
01-01-2018 23:15,3.53,9.612362660762502,0.0,0.0,71.82,100.0,83700.0,Light_Load
01-01-2018 23:30,3.24,2.95,0.0,0.0,117.03671484669448,100.0,84600.0,Light_Load
01-01-2018 23:45,,6.406411134145468,0.0,0.0,67.97,100.0,85500.0,Light_Load
01-01-2018 00:00,3.42,3.46,0.0,0.0,70.3,291.49819042121163,0.0,Light_Load
02-01-2018 00:15,3.2,3.1,0.0,0.0,71.82,100.0,900.0,Light_Load
